datetime,product_id,price,qty,customer_id,promotion_id,store_id,po_id,Unnamed: 8,"Rows: 2,000"
2024-01-01 00:00:00,PRD002,188.07,3,CUS0089,,ST003,PO0061,,
2024-01-01 00:00:00,PRD027,156.88,2,CUS0007,,ST004,PO0081,,
2024-01-01 00:00:00,PRD012,167.72,6,CUS0162,,ST005,PO0048,,
2024-01-01 00:00:00,PRD013,143.06,5,CUS0016,,ST005,PO0069,,
2024-01-02 00:00:00,PRD024,36.8,4,CUS0178,,ST002,PO0060,,
2024-01-02 00:00:00,PRD007,22.0,7,CUS0023,,ST003,PO0106,,
2024-01-02 00:00:00,PRD016,205.22,7,CUS0056,,ST003,PO0119,,
2024-01-02 00:00:00,PRD001,67.45,1,CUS0004,,ST002,PO0006,,
2024-01-02 00:00:00,PRD018,204.37,8,CUS0002,,ST001,PO0087,,
2024-01-02 00:00:00,PRD020,94.96,6,CUS0091,,ST006,PO0103,,
2024-01-03 00:00:00,PRD005,35.43,5,CUS0012,,ST006,PO0109,,
2024-01-03 00:00:00,PRD030,141.01,7,CUS0030,,ST001,PO0022,,
2024-01-03 00:00:00,PRD009,133.76,6,CUS0185,,ST002,PO0052,,
2024-01-03 00:00:00,PRD003,174.02,6,CUS0064,,ST002,PO0092,,
2024-01-03 00:00:00,PRD003,174.02,2,CUS0038,,ST004,PO0119,,
2024-01-03 00:00:00,PRD003,174.02,6,CUS0166,,ST006,PO0038,,
2024-01-03 00:00:00,PRD002,188.07,5,CUS0045,,ST004,PO0065,,
2024-01-03 00:00:00,PRD021,51.54,8,CUS0081,,ST001,PO0006,,
2024-01-04 00:00:00,PRD006,114.15,7,CUS0004,,ST001,PO0068,,
2024-01-04 00:00:00,PRD019,179.06,2,CUS0054,,ST006,PO0081,,
2024-01-04 00:00:00,PRD003,174.02,7,CUS0036,,ST006,PO0030,,
2024-01-04 00:00:00,PRD028,204.68,7,CUS0155,,ST005,PO0098,,
2024-01-04 00:00:00,PRD019,179.06,6,CUS0003,,ST001,PO0046,,
